 n  gpu          omp1_cache   omp8_cache  omp1        omp8
 8  0.00001311   0.00000084   0.00000251  0.00000313  0.00000457
 9  0.00001311   0.00000101   0.00000284  0.00000324  0.00000479
10  0.00001257   0.00000240   0.00000293  0.00000394  0.00000489
11  0.00001318   0.00000241   0.00000277  0.00000534  0.00000533
12  0.00001354   0.00000407   0.00000399  0.00000880  0.00000651
13  0.00001338   0.00001130   0.00000501  0.00001488  0.00001037
14  0.00001401   0.00001449   0.00000409  0.00002484  0.00001433
15  0.00001466   0.00002937   0.00000594  0.00004490  0.00002494
16  0.00001631   0.00005822   0.00000983  0.00008511  0.00004649
17  0.00002861   0.00011618   0.00001721  0.00016566  0.00008680
18  0.00004778   0.00023051   0.00004142  0.00032738  0.00017362
19  0.00008241   0.00051388   0.00006655  0.00064759  0.00035113
20  0.00015169   0.00095871   0.00013904  0.00129329  0.00071280
21  0.00029079   0.00270682   0.00121480  0.00260778  0.00135611
22  0.00056614   0.00548479   0.00264167  0.00531193  0.00284153
23  0.00112100   0.01059300   0.00530860  0.01104290  0.00608740
24  0.00222030   0.02124170   0.01141060  0.02244140  0.01213590
25  0.00442755   0.04396280   0.02222530  0.04527880  0.02309170
26  0.00884607   0.08943520   0.04445300  0.09092310  0.04564130
27  0.01768630   0.18090100   0.08685280  0.18223400  0.08668230
28  0.03545720   0.36374100   0.17241800  0.36476100  0.17133900













































